iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
3,3,10,150,350,10,1782827110259,touchpad,0
3,3,10,150,450,1,1782827110924,touchpad,0
3,3,10,150,450,2,1782827111676,touchpad,0
3,3,10,150,450,3,1782827112608,touchpad,0
3,3,10,150,450,4,1782827113814,touchpad,0
3,3,10,150,450,5,1782827114441,touchpad,0
3,3,10,150,450,6,1782827115158,touchpad,0
3,3,10,150,450,7,1782827115858,touchpad,0
3,3,10,150,450,8,1782827118157,touchpad,0
3,3,10,150,450,9,1782827118862,touchpad,0
3,3,10,150,450,10,1782827119824,touchpad,0
3,3,10,50,250,1,1782827120528,touchpad,0
3,3,10,50,250,2,1782827121578,touchpad,0
3,3,10,50,250,3,1782827122374,touchpad,0
3,3,10,50,250,4,1782827123292,touchpad,0
3,3,10,50,250,5,1782827124111,touchpad,0
3,3,10,50,250,6,1782827125024,touchpad,0
3,3,10,50,250,7,1782827128447,touchpad,0
3,3,10,50,250,8,1782827129646,touchpad,0
3,3,10,50,250,9,1782827130357,touchpad,0
3,3,10,50,250,10,1782827131390,touchpad,0
3,3,10,50,450,1,1782827132958,touchpad,0
3,3,10,50,450,2,1782827133894,touchpad,0
3,3,10,50,450,3,1782827134691,touchpad,0
3,3,10,50,450,4,1782827135808,touchpad,0
3,3,10,50,450,5,1782827136895,touchpad,0
3,3,10,50,450,6,1782827138142,touchpad,0
3,3,10,50,450,7,1782827139257,touchpad,0
3,3,10,50,450,8,1782827140512,touchpad,0
3,3,10,50,450,9,1782827141357,touchpad,0
3,3,10,50,450,10,1782827142590,touchpad,0
3,3,10,100,450,1,1782827143246,touchpad,0
3,3,10,100,450,2,1782827144175,touchpad,0
3,3,10,100,450,3,1782827145046,touchpad,0
3,3,10,100,450,4,1782827145963,touchpad,0
3,3,10,100,450,5,1782827146875,touchpad,0
3,3,10,100,450,6,1782827147728,touchpad,0
3,3,10,100,450,7,1782827148441,touchpad,0
3,3,10,100,450,8,1782827149260,touchpad,0
3,3,10,100,450,9,1782827149924,touchpad,0
3,3,10,100,450,10,1782827151042,touchpad,0
3,3,10,100,350,1,1782827152097,touchpad,0
3,3,10,100,350,2,1782827152823,touchpad,0
3,3,10,100,350,3,1782827153957,touchpad,0
3,3,10,100,350,4,1782827154745,touchpad,0
3,3,10,100,350,5,1782827155542,touchpad,0
3,3,10,100,350,6,1782827156346,touchpad,0
3,3,10,100,350,7,1782827157241,touchpad,0
3,3,10,100,350,8,1782827158313,touchpad,0
3,3,10,100,350,9,1782827158979,touchpad,0
3,3,10,100,350,10,1782827159724,touchpad,0
3,3,10,50,350,1,1782827160875,touchpad,0
3,3,10,50,350,2,1782827161696,touchpad,0
3,3,10,50,350,3,1782827163113,touchpad,0
3,3,10,50,350,4,1782827164125,touchpad,0
3,3,10,50,350,5,1782827165042,touchpad,0
3,3,10,50,350,6,1782827166148,touchpad,0
3,3,10,50,350,7,1782827167058,touchpad,0
3,3,10,50,350,8,1782827168041,touchpad,0
3,3,10,50,350,9,1782827169158,touchpad,0
3,3,10,50,350,10,1782827170046,touchpad,0
