iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
3,2,10,100,450,6,1782829900135,mouse,150
3,2,10,100,450,7,1782829901235,mouse,150
3,2,10,100,450,8,1782829902045,mouse,150
3,2,10,100,450,9,1782829903094,mouse,150
3,2,10,100,450,10,1782829903968,mouse,150
3,2,10,50,450,1,1782829905483,mouse,150
3,2,10,50,450,2,1782829906661,mouse,150
3,2,10,50,450,3,1782829907903,mouse,150
3,2,10,50,450,4,1782829909279,mouse,150
3,2,10,50,450,5,1782829911091,mouse,150
3,2,10,50,450,6,1782829912407,mouse,150
3,2,10,50,450,7,1782829913437,mouse,150
3,2,10,50,450,8,1782829914584,mouse,150
3,2,10,50,450,9,1782829916615,mouse,150
3,2,10,50,450,10,1782829919110,mouse,150
3,2,10,50,250,1,1782829920240,mouse,150
3,2,10,50,250,2,1782829921240,mouse,150
3,2,10,50,250,3,1782829922201,mouse,150
3,2,10,50,250,4,1782829923208,mouse,150
3,2,10,50,250,5,1782829924243,mouse,150
3,2,10,50,250,6,1782829925201,mouse,150
3,2,10,50,250,7,1782829927500,mouse,150
3,2,10,50,250,8,1782829928702,mouse,150
3,2,10,50,250,9,1782829929667,mouse,150
3,2,10,50,250,10,1782829930422,mouse,150
3,2,10,100,250,1,1782829931442,mouse,150
3,2,10,100,250,2,1782829932150,mouse,150
3,2,10,100,250,3,1782829932713,mouse,150
3,2,10,100,250,4,1782829933506,mouse,150
3,2,10,100,250,5,1782829934179,mouse,150
3,2,10,100,250,6,1782829934903,mouse,150
3,2,10,100,250,7,1782829935465,mouse,150
3,2,10,100,250,8,1782829936329,mouse,150
3,2,10,100,250,9,1782829937149,mouse,150
3,2,10,100,250,10,1782829937894,mouse,150
